source,compression,zoom,tile_count,total_bytes,avg_bytes,min_bytes,max_bytes
MVT,plain,0,1,10718,10718.0,10718,10718
MVT,gzip,0,1,8280,8280.0,8280,8280
MVT,brotli,0,1,8079,8079.0,8079,8079
MVT,zstd,0,1,8293,8293.0,8293,8293
MVT,plain,1,1,6939,6939.0,6939,6939
MVT,gzip,1,1,5475,5475.0,5475,5475
MVT,brotli,1,1,5333,5333.0,5333,5333
MVT,zstd,1,1,5508,5508.0,5508,5508
MVT,plain,2,1,18343,18343.0,18343,18343
MVT,gzip,2,1,12771,12771.0,12771,12771
MVT,brotli,2,1,12370,12370.0,12370,12370
MVT,zstd,2,1,13228,13228.0,13228,13228
MVT,plain,3,1,22123,22123.0,22123,22123
MVT,gzip,3,1,15371,15371.0,15371,15371
MVT,brotli,3,1,14922,14922.0,14922,14922
MVT,zstd,3,1,16085,16085.0,16085,16085
MVT,plain,4,1,59415,59415.0,59415,59415
MVT,gzip,4,1,39235,39235.0,39235,39235
MVT,brotli,4,1,37355,37355.0,37355,37355
MVT,zstd,4,1,40085,40085.0,40085,40085
MVT,plain,5,4,245631,61407.75,36038,101048
MVT,gzip,5,4,160983,40245.75,23014,66745
MVT,brotli,5,4,156755,39188.75,22978,64222
MVT,zstd,5,4,166594,41648.5,24527,67911
MVT,plain,6,6,642035,107005.83,52481,206862
MVT,gzip,6,6,432021,72003.5,34259,141278
MVT,brotli,6,6,421411,70235.17,33972,136600
MVT,zstd,6,6,444982,74163.67,36115,142487
MVT,plain,7,20,2657249,132862.45,9993,290437
MVT,gzip,7,20,1882248,94112.4,6375,205695
MVT,brotli,7,20,1838963,91948.15,6767,199988
MVT,zstd,7,20,1917741,95887.05,6676,205095
MVT,plain,8,70,8750334,125004.77,1937,309375
MVT,gzip,8,70,6332618,90465.97,1333,225248
MVT,brotli,8,70,6241001,89157.16,1377,218875
MVT,zstd,8,70,6394618,91351.69,1352,223695
MVT,plain,9,255,30386484,119162.68,58,339938
MVT,gzip,9,255,22069033,86545.23,78,252410
MVT,brotli,9,255,21850929,85689.92,62,245336
MVT,zstd,9,255,22195548,87041.36,67,251810
MVT,plain,10,894,56997003,63755.04,56,188243
MVT,gzip,10,894,42357413,47379.66,76,142823
MVT,brotli,10,894,42114526,47107.97,60,140457
MVT,zstd,10,894,43385998,48530.2,65,142095
MVT,plain,11,3278,120036371,36618.78,56,121846
MVT,gzip,11,3278,90112154,27489.98,76,93314
MVT,brotli,11,3278,90148427,27501.05,60,92411
MVT,zstd,11,3278,92522251,28225.21,65,97492
MVT,plain,12,12508,295252079,23605.06,56,193952
MVT,gzip,12,12508,223558073,17873.21,76,107239
